customer_id,product_name,quantity,unit_price,total_price,region
1,Sports Windbreaker,50,7.9,395.0,EMEA
2,Bamboo Toothbrush,3,74.6,223.8,MEA
3,Organic Quinoa,27,830.34,22419.18,NA
4,Winter Knit Beanie,70,208.19,14573.3,MEA
5,Savory Mushroom Risotto,69,239.17,16502.73,LATAM
6,Roasted Garlic,76,644.18,48957.68,MEA
7,Sweetened Condensed Milk,6,148.16,888.96,APAC
8,Honey Roasted Chickpeas,66,979.17,64625.22,NA
9,Cinnamon Sugar Donuts,58,83.95,4869.1,APAC
10,Sports Windbreaker,33,645.86,21313.38,LATAM
11,Roasted Red Pepper Hummus,55,942.99,51864.45,MEA
12,Digital Meat Thermometer,49,370.78,18168.22,NA
13,Whole Wheat Bread,46,268.27,12340.42,APAC
14,Thai Basil Fried Rice,99,562.57,55694.43,LATAM
15,Almond Crunch Granola Bars,31,934.63,28973.53,MEA
16,Brown Sugar,61,12.54,764.94,LATAM
17,Kettle Chip Variety Pack,92,350.64,32258.88,NA
18,Magnet Travel Fridge Magnets,36,831.78,29944.08,EMEA
19,Photo Album,73,387.12,28259.76,NA
20,Maple Bacon Popcorn,11,925.33,10178.63,LATAM
21,Italian Herbal Seasoning,32,357.27,11432.64,LATAM
22,Teriyaki Chicken Bowl,77,230.46,17745.42,EMEA
23,Hiking Boots,75,616.6,46245.0,APAC
24,Organic Granola,64,328.55,21027.2,EMEA
25,Strawberry Fruit Spread,43,524.62,22558.66,APAC
26,Eco-Friendly Yoga Blocks,97,981.32,95188.04,APAC
27,Instant Pot,80,968.45,77476.0,LATAM
28,Bamboo Utensil Holder,98,64.81,6351.38,APAC
29,Beef Stroganoff Meal Kit,56,992.55,55582.8,EMEA
30,Sliced Strawberries,2,151.38,302.76,EMEA
31,Organic Whole Grain Oats,33,481.07,15875.31,EMEA
32,Pet Hair Vacuum Cleaner Attachment,12,731.65,8779.8,LATAM
33,Fall-Themed Table Runner,97,295.42,28655.74,LATAM
34,Wireless Keyboard and Mouse Combo,48,775.08,37203.84,NA
35,Kale Chips,8,385.83,3086.64,EMEA
36,Basic V-Neck T-Shirt,51,143.83,7335.33,NA
37,Window Blinds,30,10.57,317.1,APAC
38,Gluten-Free Pancake Mix,66,104.14,6873.24,LATAM
39,Digital Meat Thermometer,5,764.68,3823.4,APAC
40,Dark Chocolate Covered Pretzels,92,303.97,27965.24,LATAM
41,Artisan Bread Loaf,65,307.88,20012.2,EMEA
42,Personal Blender with Cups,35,344.72,12065.2,APAC
43,Artisan Bread Loaf,7,221.91,1553.37,MEA
44,Natural Peanut Butter,61,841.9,51355.9,LATAM
45,Whole Grain Mustard,65,187.02,12156.3,MEA
46,Kids' Trampoline,97,408.96,39669.12,NA
47,Chicken Breasts,82,796.52,65314.64,LATAM
48,Creamy Ranch Dressing,43,689.09,29630.87,MEA
49,Honey-Balsamic Vinaigrette,15,607.59,9113.85,APAC
50,Bodyweight Resistance Bands,73,564.92,41239.16,LATAM
51,Comfort Flats,55,674.09,37074.95,APAC
52,Foam Muscle Roller,98,724.44,70995.12,MEA
53,Rolling Cooler,68,429.45,29202.6,LATAM
54,Baby Safety Corner Guards,86,343.37,29529.82,EMEA
55,High-Pressure Handheld Shower Head,91,827.34,75287.94,APAC
56,Wall Planner,25,838.35,20958.75,APAC
57,Paint By Numbers Kit,64,703.68,45035.52,NA
58,Buffalo Stilton Cheese,83,747.93,62078.19,MEA
59,Greek Feta Cheese,25,330.06,8251.5,LATAM
60,Almond Joy Munch Bars,5,127.05,635.25,MEA
61,Honey BBQ Riblets,41,99.95,4097.95,MEA
62,Reflective Safety Vest,95,836.1,79429.5,MEA
63,Balsamic Vinegar,75,121.16,9087.0,NA
64,Athletic Jogging Jacket,34,218.39,7425.26,NA
65,Instant Mashed Potatoes,47,531.29,24970.63,EMEA
66,LED Flashing Pet Collar,60,403.26,24195.6,NA
67,Kale and Quinoa Salad,56,546.45,30601.2,LATAM
68,Suction Cup Hooks,65,525.92,34184.8,MEA
69,Multicolored LED Strip Lights,30,311.69,9350.7,EMEA
70,Kids' Building Blocks,27,812.96,21949.92,NA
71,Adjustable Garden Rake,39,955.31,37257.09,NA
72,Pasta Maker Machine,79,398.85,31509.15,APAC
73,Chocolate Dipped Fruit,39,721.04,28120.56,APAC
74,Kids' Outdoor Explorer Kit,33,50.7,1673.1,APAC
75,Outdoor String Lights,71,447.7,31786.7,NA
76,Coconut Curry Sauce,92,835.03,76822.76,MEA
77,Strawberry Rhubarb Jam,86,80.38,6912.68,APAC
78,Tropical Fruit Bowl,89,723.82,64419.98,APAC
79,Spicy Thai Coconut Soup,2,863.4,1726.8,NA
80,Frozen Cauliflower Rice,65,156.15,10149.75,LATAM
81,Garlic Herb Cream Cheese,32,268.14,8580.48,NA
82,Electric Razor,64,586.62,37543.68,LATAM
83,Pasta Maker Machine,28,43.26,1211.28,MEA
84,Solar Garden Lights,57,497.76,28372.32,NA
85,Compressed Towel Tablets,31,662.33,20532.23,EMEA
86,Mini Air Hockey Table,9,650.96,5858.64,EMEA
87,Portable Pet Bathing Tool,69,189.21,13055.49,NA
88,Trainers with Mesh Inserts,8,469.6,3756.8,EMEA
89,Personalized Cutting Board,11,340.8,3748.8,APAC
90,Flavored Instant Oatmeal,23,450.46,10360.58,MEA
91,Creamy Garlic Mashed Potatoes,32,476.43,15245.76,EMEA
92,Samoas Cookie Mix,12,226.41,2716.92,LATAM
93,Sriracha Honey Glaze,40,251.96,10078.4,APAC
94,Compact Refrigerator,73,25.87,1888.51,MEA
95,Mini Electric Kettle,41,148.33,6081.53,EMEA
96,Sporty Leggings,83,7.36,610.88,NA
97,Pumpkin Pie Spice,64,301.57,19300.48,NA
98,Incense Holder,21,821.72,17256.12,APAC
99,High-Waisted Skirt,40,366.62,14664.8,LATAM
